loss,accuracy,val_loss,val_accuracy
0.3066372275352478,0.8647014498710632,0.13756269216537476,0.9384703636169434
0.05810455232858658,0.9780749082565308,0.007202991284430027,0.9976730942726135
0.013870414346456528,0.9958324432373047,0.009250313974916935,0.9966431260108948
0.011090532876551151,0.9969482421875,0.0015506463823840022,0.9993515014648438
0.007298349868506193,0.9979305267333984,0.0014423122629523277,0.9994659423828125
0.005970595870167017,0.9983501434326172,0.006036595441401005,0.998512327671051
0.005356018431484699,0.9987125396728516,0.0016850867541506886,0.9994277954101562
0.004241398070007563,0.9986839294433594,0.00449148565530777,0.9993133544921875
0.006432896479964256,0.9983310699462891,0.0011519651161506772,0.999542236328125
0.0024140458554029465,0.9993896484375,0.002049724804237485,0.9995040893554688
0.004789045080542564,0.9988365173339844,0.0014560852432623506,0.9996566772460938
0.0054131681099534035,0.9988651275634766,0.0007564423722214997,0.9998092651367188
0.0032578795216977596,0.9992752075195312,0.000927446351852268,0.9997329711914062
0.004205629229545593,0.9991035461425781,0.0015588250244036317,0.9994659423828125
0.003545452142134309,0.9993419647216797,0.001528114196844399,0.9995803833007812
0.002979439217597246,0.9993133544921875,0.0010329248616471887,0.9999237060546875
0.002800887683406472,0.9994659423828125,0.0005185441696085036,0.9998092651367188
0.00389479030855,0.9991607666015625,0.001172887161374092,0.9996185302734375
0.0038040713407099247,0.9991512298583984,0.002463814802467823,0.9993133544921875
0.004076887853443623,0.9992752075195312,0.0029061108361929655,0.9994659423828125
0.0023787999525666237,0.9994659423828125,0.010022279806435108,0.9973679184913635
0.002124960068613291,0.9994659423828125,0.0014317502500489354,0.999542236328125
0.0016088975826278329,0.9995803833007812,0.001644567702896893,0.9995040893554688
0.0035009991843253374,0.9993801116943359,0.0021527125500142574,0.9996185302734375
0.0015271669253706932,0.9997425079345703,0.0004294956452213228,0.9999618530273438
